name,creator,url,image
Official Cockpit Texture Mod,MoreRightRudder,https://flightsim.to/file/10547/cj4-cockpit-texture-mod,https://cdn.flightsim.to/images/11/0gJmGzUZ.jpg?width=275&auto_optimize=medium
Cockpit Livery Black/Creme/Creme,JayDee,https://flightsim.to/file/5935/cockpit-livery-citation-cj4-black-creme-creme,https://images.flightsim.to/images/07/rPfN2u_a.jpg?width=275&auto_optimize=medium
