name,creator,url,image,registration
N2RF,MonsterMatti,https://flightsim.to/file/6328/citation-cj4-n2rf,https://cdn.flightsim.to/images/07/VOD6Ft4r.jpg?width=275&auto_optimize=medium,
N325CJ,EDRM-Repaints,https://edrm-repaints.com/aircraft.php?id=cj4&i=n325cj,https://cdn.flightsim.to/images/12/OpjXJIZe.png?width=275&auto_optimize=medium,N325CJ
N347CZ,Nerbulus,https://flightsim.to/file/23444/cessna-citation-cj4-n347cz,https://cdn.flightsim.to/images/20/cessna-citation-cj4-n347cz-qtQ5e.jpg?width=275&auto_optimize=medium,N347CZ
N366F,EDRM-Repaints,https://edrm-repaints.com/aircraft.php?id=cj4&i=n366f,https://forums.flightsimulator.com/uploads/default/optimized/4X/a/2/c/a2c51ec8bec5ddd11c8104865c1300427731cd85_2_690x381.jpeg,N366F
N481AM,EDRM-Repaints,https://edrm-repaints.com/aircraft.php?id=cj4&i=n481am,https://forums.flightsimulator.com/uploads/default/optimized/3X/5/6/56137857b6b8fdf6cfee4f648ba940b8293f71df_2_690x417.jpeg,N481AM
N760PT,EDRM-Repaints,https://edrm-repaints.com/aircraft.php?id=cj4&i=n760pt,https://forums.flightsimulator.com/uploads/default/optimized/3X/b/4/b45ced52b208c4e82c40b087239564b6f39cbe9b_2_690x365.jpeg,N760PT
N79JS,EDRM-Repaints,https://edrm-repaints.com/aircraft.php?id=cj4&i=n79js,https://forums.flightsimulator.com/uploads/default/original/3X/d/e/de0a3e9e71dc6590321f1ef5963827b54b46cd2a.jpeg,N79JS
N7NE,EDRM-Repaints,https://edrm-repaints.com/aircraft.php?id=cj4&i=n7ne,https://forums.flightsimulator.com/uploads/default/optimized/4X/1/4/a/14a4f811eb4798e29e5132b3fb4b1d00cb707b50_2_690x389.jpeg,N7NE
N80EM,Nerbulus,https://flightsim.to/file/22212/cessna-citation-cj4-n80em,https://cdn.flightsim.to/images/19/cessna-citation-cj4-n80em-fB1Cq.jpg?width=275&auto_optimize=medium,N80EM
N80HB,EDRM-Repaints,https://edrm-repaints.com/aircraft.php?id=cj4&i=n80hb,https://forums.flightsimulator.com/uploads/default/optimized/3X/3/0/30a67d24e2d5bdfd758681c6c58964282b7218fb_2_690x388.jpeg,N80HB
